Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.008260601,0,0.037081924,0,0.833333333,0.833333333
0.005536545,0,0,0,1.166666667,1.166666667
0.006920789,0,0,0,2,2
0.005355677,0,0,0,4.916666667,4.916666667
0.010051014,0.003866163,0.00386539,0,7.583333333,7.583333333
0.021006799,0.000910651,0.010858584,0,3.916666667,3.916666667
0.024429383,0.000276734,0.011041984,0,2.166666667,2.166666667
0.027926809,0,0.020831788,1.96E-06,3.583333333,3.583333333
0.03398134,0,0.022962018,8.80E-06,4,4
0.037756244,0,0.019184508,3.26E-05,5.75,5.75
0.046506096,0,0.022755404,0.000212756,5.25,5.25
0.051222896,0,0.027815094,0.000481105,4,4
0.048078362,0,0.0330287,0.000944765,4,4
0.044933829,0,0.034413003,0.001395709,5.75,5.75
0.041789296,0,0.031042959,0.001363266,6.416666667,6.416666667
0.041789296,0,0.028833596,0.000993348,6,6
0.047032714,0,0.027820587,0.000101731,5.416666667,5.416666667
0.047554379,0,0.028423053,0,5,5
0.044409846,0,0.031960846,0,4.416666667,4.416666667
0.041265313,0,0.032694421,0,3.416666667,3.416666667
0.038120779,0,0.031103727,0,3.583333333,3.583333333
0.034976246,0,0.0230168,0,4,4
0.020048301,0,0.017270729,0,3.416666667,3.416666667
0.00905961,0,0.0133418,0,2.416666667,2.416666667
0.007871828,0,0.032291455,0,2,2
0.005536545,0,0,0,1.416666667,1.416666667
0.006920789,0,0,0,0.416666667,0.416666667
0.005355677,0,0,0,0,0
0.010051014,0.005882594,0.00837999,0,0,0
0.022209162,0.000981009,0.009038464,0,0,0
0.025559822,0.001825225,0.011009831,0,0.583333333,0.583333333
0.028704355,0,0.012960973,0,0.416666667,0.416666667
0.033932915,0,0.016203346,0.000104992,0.583333333,0.583333333
0.03812805,0,0.020677386,0.000637451,1,1
0.047539522,0,0.022923325,0.001020575,1.583333333,1.583333333
0.052256322,0,0.030689827,0.001349571,2,2
0.049111789,0,0.037853956,0.001491734,3.166666667,3.166666667
0.045967255,0,0.037793389,0.001466465,3.416666667,3.416666667
0.042822722,0,0.033075942,0.001366363,3.583333333,3.583333333
0.042822722,0,0.029148601,0.000998728,4,4
0.049104518,0,0.028147821,0.000106622,4,4
0.049887016,0,0.032561265,0,3.416666667,3.416666667
