Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly),,,,,,,,,
0.006637542,0.024406942,0,0,0.833333333,0.833333333,,,,796.51 ,0.006637542,2928.833 ,0.024406942,,0
0.007418656,0.026921683,0,0,1.166666667,1.166666667,,,,890.24 ,0.007418656,3230.602 ,0.026921683,,0
0.008136299,0.02913615,0,0,2,2,,,,976.36 ,0.008136299,3496.338 ,0.02913615,,0
0.008625389,0.030648125,0,0,4.916666667,4.916666667,,,,1035.05 ,0.008625389,3677.775 ,0.030648125,,0
0.008911547,0.0315163,0,0,7.583333333,7.583333333,,,,1069.39 ,0.008911547,3781.956 ,0.0315163,,0
0.0090109,0.03181015,0,0,3.916666667,3.916666667,,,,1081.31 ,0.0090109,3817.218 ,0.03181015,,0
0.009034376,0.0317337,0,0,2.166666667,2.166666667,,,,1084.13 ,0.009034376,3808.044 ,0.0317337,,0
0.009074288,0.031547208,0,1.96E-06,3.583333333,3.583333333,,,,1088.91 ,0.009074288,3785.665 ,0.031547208,,0
0.010148432,0.034685313,0,8.80E-06,4,4,,,,1217.81 ,0.010148432,4162.238 ,0.034685313,,0
0.008986487,0.031267263,0,3.26E-05,5.75,5.75,,,,1078.38 ,0.008986487,3752.072 ,0.031267263,,0
0.008876931,0.031186433,0,0.000212756,5.25,5.25,,,,1065.23 ,0.008876931,3742.372 ,0.031186433,,0
0.008373083,0.029490208,0,0.000481105,4,4,,,,1004.77 ,0.008373083,3538.825 ,0.029490208,,0
0.007724372,0.027647875,0,0.000944765,4,4,,,,926.92 ,0.007724372,3317.745 ,0.027647875,,0
0.007174302,0.026065268,0,0.001395709,5.75,5.75,,,,860.92 ,0.007174302,3127.832 ,0.026065268,,0
0.00683972,0.024974162,0,0.001363266,6.416666667,6.416666667,,,,820.77 ,0.00683972,2996.899 ,0.024974162,,0
0.005875899,0.021738773,0,0.000993348,6,6,,,,705.11 ,0.005875899,2608.653 ,0.021738773,,0
0.00640456,0.023595822,0,0.000101731,5.416666667,5.416666667,,,,768.55 ,0.00640456,2831.499 ,0.023595822,,0
0.006786226,0.02465022,0,0,5,5,,,,814.35 ,0.006786226,2958.026 ,0.02465022,,0
0.00700008,0.025519995,0,0,4.416666667,4.416666667,,,,840.01 ,0.00700008,3062.399 ,0.025519995,,0
0.007280049,0.026187905,0,0,3.416666667,3.416666667,,,,873.61 ,0.007280049,3142.549 ,0.026187905,,0
0.007593143,0.026872068,0,0,3.583333333,3.583333333,,,,911.18 ,0.007593143,3224.648 ,0.026872068,,0
0.006924587,0.0246494,0,0,4,4,,,,830.95 ,0.006924587,2957.928 ,0.0246494,,0
0.006955959,0.025129008,0,0,3.416666667,3.416666667,,,,834.72 ,0.006955959,3015.481 ,0.025129008,,0
0.007056864,0.02563045,0,0,2.416666667,2.416666667,,,,846.82 ,0.007056864,3075.654 ,0.02563045,,0
0.007189416,0.0261299,0,0,2,2,,,,862.73 ,0.007189416,3135.588 ,0.0261299,,0
0.007265311,0.02645535,0,0,1.416666667,1.416666667,,,,871.84 ,0.007265311,3174.642 ,0.02645535,,0
0.007413997,0.026920708,0,0,0.416666667,0.416666667,,,,889.68 ,0.007413997,3230.485 ,0.026920708,,0
0.007564603,0.027391325,0,0,0,0,,,,907.75 ,0.007564603,3286.959 ,0.027391325,,0
0.00772512,0.027875908,0,0,0,0,,,,927.01 ,0.00772512,3345.109 ,0.027875908,,0
0.007844414,0.0282333,0,0,0,0,,,,941.33 ,0.007844414,3387.996 ,0.0282333,,0
0.007973313,0.028511275,0,0,0.583333333,0.583333333,,,,956.80 ,0.007973313,3421.353 ,0.028511275,,0
0.008102729,0.028663575,0,0,0.416666667,0.416666667,,,,972.33 ,0.008102729,3439.629 ,0.028663575,,0
0.009131365,0.03169504,0,0.000104992,0.583333333,0.583333333,,,,1095.76 ,0.009131365,3803.405 ,0.03169504,,0
0.008811791,0.03083229,0,0.000637451,1,1,,,,1057.41 ,0.008811791,3699.875 ,0.03083229,,0
0.00825975,0.029340035,0,0.001020575,1.583333333,1.583333333,,,,991.17 ,0.00825975,3520.804 ,0.029340035,,0
0.007231104,0.026063512,0,0.001349571,2,2,,,,867.73 ,0.007231104,3127.621 ,0.026063512,,0
0.005753818,0.021646385,0,0.001491734,3.166666667,3.166666667,,,,690.46 ,0.005753818,2597.566 ,0.021646385,,0
0.005207699,0.020053912,0,0.001466465,3.416666667,3.416666667,,,,624.92 ,0.005207699,2406.469 ,0.020053912,,0
0.00552182,0.020967668,0,0.001366363,3.583333333,3.583333333,,,,662.62 ,0.00552182,2516.120 ,0.020967668,,0
0.00533204,0.020165938,0,0.000998728,4,4,,,,639.84 ,0.00533204,2419.913 ,0.020165938,,0
0.004913879,0.019067625,0,0.000106622,4,4,,,,589.67 ,0.004913879,2288.115 ,0.019067625,,0
0.005769749,0.021602223,0,0,3.416666667,3.416666667,,,,692.37 ,0.005769749,2592.267 ,0.021602223,,0
0.00611041,0.022817163,0,0,2.416666667,2.416666667,,,,733.25 ,0.00611041,2738.060 ,0.022817163,,0
0.006547597,0.024007447,0,0,1.416666667,1.416666667,,,,785.71 ,0.006547597,2880.894 ,0.024007447,,0
0.006960916,0.025056707,0,0,1,1,,,,835.31 ,0.006960916,3006.805 ,0.025056707,,0
0.006416084,0.023249117,0,0,1,1,,,,769.93 ,0.006416084,2789.894 ,0.023249117,,0
0.006503443,0.023821233,0,0,1.583333333,1.583333333,,,,780.41 ,0.006503443,2858.548 ,0.023821233,,0
0.006630567,0.024363483,0,0,2,2,,,,795.67 ,0.006630567,2923.618 ,0.024363483,,0
0.00677567,0.0248396,0,0,2,2,,,,813.08 ,0.00677567,2980.752 ,0.0248396,,0
0.006915502,0.02537825,0,0,1.416666667,1.416666667,,,,829.86 ,0.006915502,3045.390 ,0.02537825,,0
0.00716888,0.02616665,0,0,0.416666667,0.416666667,,,,860.27 ,0.00716888,3139.998 ,0.02616665,,0
0.007465697,0.027087667,0,0,1.166666667,1.166666667,,,,895.88 ,0.007465697,3250.520 ,0.027087667,,0
0.007801159,0.028107858,0,0,0.833333333,0.833333333,,,,936.14 ,0.007801159,3372.943 ,0.028107858,,0
0.008098157,0.029009208,0,0,0,0,,,,971.78 ,0.008098157,3481.105 ,0.029009208,,0
0.00836386,0.029685667,0,0,1.166666667,1.166666667,,,,1003.66 ,0.00836386,3562.280 ,0.029685667,,0
0.008553131,0.029976933,0,0,1.416666667,1.416666667,,,,1026.38 ,0.008553131,3597.232 ,0.029976933,,0
0.00952968,0.032825325,0,0,1.583333333,1.583333333,,,,1143.56 ,0.00952968,3939.039 ,0.032825325,,0
0.009026589,0.031420795,0,0,2.583333333,2.583333333,,,,1083.19 ,0.009026589,3770.495 ,0.031420795,,0
0.007721662,0.027654093,0,0,2.416666667,2.416666667,,,,926.60 ,0.007721662,3318.491 ,0.027654093,,0
0.006453442,0.023620387,0,0,1.416666667,1.416666667,,,,774.41 ,0.006453442,2834.446 ,0.023620387,,0
0.005504148,0.020845937,0,0,2.166666667,2.166666667,,,,660.50 ,0.005504148,2501.512 ,0.020845937,,0
0.004655569,0.018340253,0,0,3,3,,,,558.67 ,0.004655569,2200.830 ,0.018340253,,0
0.004183917,0.016832288,0,0,2.416666667,2.416666667,,,,502.07 ,0.004183917,2019.875 ,0.016832288,,0
